welfarepurpose_welfare_id,welfarepurpose_purpose_id
1,1
2,0
3,8
4,7
5,4
6,6
7,5
7,8
8,6
9,5
10,2
10,6
11,2
11,7
12,6
13,3
14,5
15,2
16,2
16,8
17,2
18,8
19,2
19,5
20,2
21,2
22,3
23,1
23,7
25,9
26,3
27,3
27,6
28,6
28,9
29,6
30,5
31,2
32,2
33,2
34,2
35,5
36,3
37,2
38,2
39,6
40,6
41,5
42,1
43,3
44,2
44,8
45,6
46,2
46,5
47,3
48,8
49,5
49,6
50,2
51,2
51,5
51,8
52,2
52,3
52,5
52,8
53,2
54,5
54,6
55,2
56,3
57,2
57,3
58,0
58,2
59,2
59,8
60,2
60,5
61,1
61,2
61,8
62,5
63,3
65,2
66,8
67,2
67,8
68,6
WLF00000022,3
WLF00000022,4
WLF00000023,9
WLF00000024,6
WLF00000026,9
WLF00000027,2
WLF00000028,6
WLF00000030,6
WLF00000031,2
WLF00000032,8
WLF00000033,9
WLF00000034,6
WLF00000035,2
WLF00000036,1
WLF00000037,6
WLF00000038,9
WLF00000040,3
WLF00000041,3
WLF00000043,8
WLF00000044,3
WLF00000044,5
WLF00000044,6
WLF00000045,0
WLF00000046,2
WLF00000047,3
WLF00000048,1
WLF00000049,9
WLF00000050,8
WLF00000051,8
WLF00000052,6
WLF00000053,9
WLF00000054,6
WLF00000055,7
WLF00000056,3
WLF00000057,1
WLF00000058,9
WLF00000059,2
WLF00000060,9
WLF00000061,3
WLF00000062,1
WLF00000063,6
WLF00000064,4
WLF00000064,6
WLF00000065,5
WLF00000066,6
WLF00000067,3
WLF00000068,5
WLF00000069,5
WLF00000070,0
WLF00000071,0
WLF00000072,2
WLF00000073,6
WLF00000074,2
WLF00000075,6
WLF00000076,7
WLF00000077,3
WLF00000077,5
WLF00000078,2
WLF00000086,6
WLF00000087,8
WLF00000088,3
WLF00000088,5
WLF00000089,5
WLF00000090,6
WLF00000091,1
WLF00000092,6
WLF00000093,1
WLF00000094,6
WLF00000094,8
WLF00000095,8
WLF00000096,0
WLF00000096,8
WLF00000097,2
WLF00000097,8
WLF00000098,5
WLF00000099,3
WLF00000100,9
WLF00000101,2
WLF00000102,4
WLF00000103,2
WLF00000103,5
WLF00000104,9
WLF00000747,8
WLF00000748,0
WLF00000748,5
WLF00000750,8
WLF00000751,1
WLF00000751,5
WLF00000781,3
WLF00000782,2
WLF00000807,6
WLF00000812,0
WLF00000812,6
WLF00000814,1
WLF00000815,1
WLF00000837,2
WLF00000837,6
WLF00000838,6
WLF00000842,6
WLF00000864,3
WLF00000864,5
WLF00000867,6
WLF00000888,1
WLF00000892,4
WLF00000896,3
WLF00000896,4
WLF00000917,1
WLF00000921,0
WLF00000921,2
WLF00000921,3
WLF00000922,0
WLF00000923,3
WLF00000946,7
WLF00000948,4
WLF00000948,6
WLF00000968,3
WLF00000969,6
WLF00000975,0
WLF00000998,3
WLF00001020,9
WLF00001021,3
WLF00001026,0
WLF00001059,8
WLF00001060,0
WLF00001060,6
WLF00001061,3
WLF00001061,4
WLF00001061,5
WLF00001061,6
WLF00001062,2
WLF00001062,3
WLF00001063,1
WLF00001064,8
WLF00001065,3
WLF00001066,8
WLF00001067,6
WLF00001068,6
WLF00001069,3
WLF00001070,5
WLF00001071,6
WLF00001072,4
WLF00001072,5
WLF00001073,6
WLF00001073,8
WLF00001074,3
WLF00001074,8
WLF00001075,6
WLF00001076,0
WLF00001076,1
WLF00001076,2
WLF00001077,4
WLF00001077,5
WLF00001078,0
WLF00001079,1
WLF00001080,0
WLF00001080,1
WLF00001080,2
WLF00001080,3
WLF00001081,3
WLF00001082,9
WLF00001083,6
WLF00001084,4
WLF00001084,5
WLF00001085,0
WLF00001085,6
WLF00001086,5
WLF00001087,3
WLF00001087,5
WLF00001088,3
WLF00001089,6
WLF00001090,0
WLF00001091,3
WLF00001092,3
WLF00001092,5
WLF00001093,3
WLF00001093,5
WLF00001093,8
WLF00001094,6
WLF00001094,8
WLF00001095,6
WLF00001095,8
WLF00001096,6
WLF00001097,9
WLF00001098,4
WLF00001099,3
WLF00001100,7
WLF00001101,1
WLF00001102,3
WLF00001103,6
WLF00001104,6
WLF00001105,3
WLF00001105,4
WLF00001105,5
WLF00001106,2
WLF00001106,3
WLF00001106,8
WLF00001107,5
WLF00001108,2
WLF00001109,6
WLF00001110,3
WLF00001110,5
WLF00001111,7
WLF00001112,6
WLF00001113,3
WLF00001113,5
WLF00001114,6
WLF00001115,3
WLF00001116,6
WLF00001117,7
WLF00001118,6
WLF00001119,3
WLF00001120,4
WLF00001120,6
WLF00001121,3
WLF00001121,5
WLF00001122,2
WLF00001123,0
WLF00001124,3
WLF00001124,5
WLF00001124,6
WLF00001125,0
WLF00001126,9
WLF00001127,8
WLF00001128,1
WLF00001129,6
WLF00001130,3
WLF00001131,6
WLF00001132,2
WLF00001133,3
WLF00001134,3
WLF00001135,6
WLF00001136,9
WLF00001137,2
WLF00001138,0
WLF00001139,5
WLF00001140,5
WLF00001141,4
WLF00001141,5
WLF00001141,8
WLF00001142,6
WLF00001143,7
WLF00001144,2
WLF00001145,4
WLF00001146,2
WLF00001147,6
WLF00001148,9
WLF00001149,0
WLF00001150,7
WLF00001151,3
WLF00001152,0
WLF00001153,8
WLF00001154,2
WLF00001155,0
WLF00001156,0
WLF00001157,9
WLF00001158,3
WLF00001159,2
WLF00001159,3
WLF00001160,4
WLF00001161,6
WLF00001162,2
WLF00001163,6
WLF00001164,2
WLF00001165,7
WLF00001166,4
WLF00001168,0
WLF00001169,3
WLF00001171,9
WLF00001173,6
WLF00001174,6
WLF00001175,6
WLF00001175,8
WLF00001176,3
WLF00001177,3
WLF00001178,5
WLF00001179,3
WLF00001180,5
WLF00001181,5
WLF00001182,3
WLF00001183,6
WLF00001184,3
WLF00001185,3
WLF00001186,2
WLF00001186,6
WLF00001187,0
WLF00001188,6
WLF00003168,1
WLF00003168,9
WLF00003169,4
WLF00003170,0
WLF00003171,3
WLF00003172,8
WLF00003173,7
WLF00003174,9
WLF00003175,2
WLF00003176,2
WLF00003177,3
WLF00003178,9
WLF00003179,3
WLF00003180,2
WLF00003181,3
WLF00003182,0
WLF00003183,9
WLF00003184,5
WLF00003185,4
WLF00003186,5
WLF00003187,7
WLF00003188,6
WLF00003189,0
WLF00003190,3
WLF00003191,5
WLF00003192,3
WLF00003193,9
WLF00003194,3
WLF00003195,3
WLF00003196,2
WLF00003197,9
WLF00003198,2
WLF00003199,9
WLF00003200,4
WLF00003201,1
WLF00003202,3
WLF00003203,8
WLF00003204,4
WLF00003205,0
WLF00003206,3
WLF00003207,0
WLF00003208,0
WLF00003209,2
WLF00003210,9
WLF00003211,5
WLF00003212,1
WLF00003213,3
WLF00003214,2
WLF00003214,8
WLF00003215,9
WLF00003216,6
WLF00003217,8
WLF00003218,3
WLF00003219,2
WLF00003220,9
WLF00003221,1
WLF00003222,1
WLF00003223,4
WLF00003223,5
WLF00003224,6
WLF00003225,2
WLF00003225,3
WLF00003226,3
WLF00003226,5
WLF00003227,6
WLF00003228,3
WLF00003229,2
WLF00003230,1
WLF00003231,9
WLF00003232,3
WLF00003233,2
WLF00003234,9
WLF00003235,9
WLF00003236,4
WLF00003237,3
WLF00003238,3
WLF00003239,0
WLF00003240,6
WLF00003241,9
WLF00003242,3
WLF00003243,5
WLF00003244,1
WLF00003245,0
WLF00003246,3
WLF00003247,3
WLF00003248,5
WLF00003249,9
WLF00003250,6
WLF00003251,0
WLF00003252,8
WLF00003253,6
WLF00003254,5
WLF00003254,6
WLF00003255,6
WLF00003256,3
WLF00003257,2
WLF00003258,5
WLF00003259,0
WLF00003260,3
WLF00003260,5
WLF00003261,2
WLF00003262,5
WLF00003263,4
WLF00003264,3
WLF00003265,2
WLF00003266,9
WLF00003267,2
WLF00003268,9
WLF00003268,3
WLF00003269,1
WLF00003270,3
WLF00003270,4
WLF00003271,1
WLF00003272,3
WLF00003273,3
WLF00003274,2
WLF00003274,3
WLF00003275,3
WLF00003275,4
WLF00003276,6
WLF00003277,2
WLF00003278,3
WLF00003279,2
WLF00003279,5
WLF00003279,6
WLF00003280,3
WLF00003281,0
WLF00003282,6
WLF00003283,5
WLF00003283,6
WLF00004647,6
WLF00004648,1
WLF00004648,3
WLF00004648,5
WLF00004649,1
WLF00004650,6
WLF00004651,0
WLF00004651,6
WLF00004654,0
WLF00004655,0
WLF00004656,9
WLF00004657,6
