welfarelife_welfare_id,welfarelife_life_id,welfare_id
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
2,3,2
3,0,3
3,1,3
3,2,3
3,3,3
3,4,3
3,5,3
4,0,4
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
5,0,5
5,1,5
5,2,5
5,3,5
5,4,5
5,5,5
6,0,6
6,1,6
6,2,6
6,3,6
6,4,6
6,5,6
7,4,7
7,5,7
8,1,8
9,5,9
10,3,10
10,4,10
11,3,11
11,4,11
12,1,12
13,1,13
14,0,14
14,1,14
14,2,14
14,3,14
14,4,14
14,5,14
15,0,15
15,1,15
15,2,15
15,3,15
15,4,15
15,5,15
16,0,16
16,1,16
16,2,16
16,3,16
16,4,16
16,5,16
17,0,17
18,5,18
19,0,19
19,1,19
19,2,19
19,3,19
19,4,19
19,5,19
20,0,20
20,1,20
20,2,20
20,3,20
20,4,20
20,5,20
21,0,21
21,1,21
21,2,21
21,3,21
21,4,21
21,5,21
22,0,22
22,1,22
22,2,22
22,3,22
22,4,22
22,5,22
23,0,23
23,1,23
23,2,23
23,3,23
23,4,23
23,5,23
24,0,24
24,1,24
24,2,24
24,3,24
24,4,24
24,5,24
25,5,25
26,0,26
26,1,26
26,2,26
26,3,26
26,4,26
26,5,26
27,1,27
28,0,28
28,1,28
28,2,28
28,3,28
28,4,28
28,5,28
29,0,29
29,1,29
29,2,29
29,3,29
29,4,29
29,5,29
30,4,30
30,5,30
31,3,31
32,3,32
32,4,32
32,5,32
33,3,33
33,4,33
33,5,33
34,1,34
34,2,34
35,3,35
35,4,35
35,5,35
36,3,36
37,3,37
38,5,38
39,0,39
40,0,40
41,1,41
41,2,41
42,3,42
42,4,42
43,3,43
43,4,43
44,2,44
44,3,44
44,4,44
44,5,44
45,0,45
45,1,45
46,0,46
46,1,46
46,2,46
46,3,46
46,4,46
46,5,46
47,0,47
47,1,47
47,2,47
47,3,47
47,4,47
47,5,47
48,0,48
48,1,48
48,2,48
48,3,48
48,4,48
48,5,48
49,0,49
49,1,49
50,1,50
50,2,50
50,3,50
50,4,50
50,5,50
51,0,51
51,1,51
51,2,51
51,3,51
51,4,51
51,5,51
52,4,52
52,5,52
53,0,53
53,1,53
53,2,53
53,3,53
53,4,53
53,5,53
54,1,54
54,2,54
55,3,55
55,4,55
55,5,55
56,0,56
56,3,56
56,4,56
57,0,57
57,1,57
57,2,57
57,3,57
57,4,57
57,5,57
58,2,58
58,3,58
58,4,58
59,4,59
59,5,59
60,1,60
60,2,60
60,3,60
60,4,60
60,5,60
61,1,61
61,2,61
61,3,61
61,4,61
61,5,61
62,3,62
62,4,62
62,5,62
63,0,63
63,1,63
63,2,63
63,3,63
63,4,63
63,5,63
64,0,64
64,1,64
65,0,65
65,1,65
65,2,65
66,3,66
66,4,66
67,0,67
67,1,67
67,2,67
67,3,67
67,4,67
67,5,67
68,0,68
68,1,68
68,2,68
68,3,68
68,4,68
68,5,68
WLF00000022,6,69
WLF00000023,6,70
WLF00000024,1,71
WLF00000024,2,71
WLF00000024,0,71
WLF00000026,3,73
WLF00000026,5,73
WLF00000026,4,73
WLF00000027,5,74
WLF00000027,4,74
WLF00000027,3,74
WLF00000027,2,74
WLF00000028,0,75
WLF00000028,2,75
WLF00000030,0,76
WLF00000031,3,77
WLF00000031,2,77
WLF00000031,4,77
WLF00000031,5,77
WLF00000032,2,78
WLF00000033,5,79
WLF00000034,6,80
WLF00000035,6,81
WLF00000036,6,82
WLF00000037,6,83
WLF00000038,6,84
WLF00000040,6,85
WLF00000041,6,86
WLF00000043,6,87
WLF00000044,6,88
WLF00000045,6,89
WLF00000046,6,90
WLF00000047,6,91
WLF00000048,6,92
WLF00000049,6,93
WLF00000050,5,94
WLF00000050,4,94
WLF00000051,6,95
WLF00000052,6,96
WLF00000053,6,97
WLF00000054,6,98
WLF00000055,4,99
WLF00000055,5,99
WLF00000055,3,99
WLF00000055,2,99
WLF00000055,1,99
WLF00000056,6,100
WLF00000057,6,101
WLF00000058,6,102
WLF00000059,6,103
WLF00000060,6,104
WLF00000062,6,106
WLF00000063,6,107
WLF00000064,6,108
WLF00000065,4,109
WLF00000065,5,109
WLF00000065,2,109
WLF00000065,3,109
WLF00000066,6,110
WLF00000067,6,111
WLF00000068,6,112
WLF00000069,6,113
WLF00000070,6,114
WLF00000071,6,115
WLF00000072,6,116
WLF00000073,6,117
WLF00000074,6,118
WLF00000075,6,119
WLF00000076,1,120
WLF00000076,2,120
WLF00000076,0,120
WLF00000077,6,121
WLF00000078,3,122
WLF00000078,1,122
WLF00000078,2,122
WLF00000086,6,123
WLF00000087,6,124
WLF00000088,6,125
WLF00000089,1,126
WLF00000089,2,126
WLF00000090,6,127
WLF00000091,6,128
WLF00000092,0,129
WLF00000093,6,130
WLF00000094,6,131
WLF00000095,6,132
WLF00000096,6,133
WLF00000097,6,134
WLF00000098,6,135
WLF00000099,6,136
WLF00000100,6,137
WLF00000101,6,138
WLF00000102,6,139
WLF00000103,6,140
WLF00000104,6,141
WLF00000747,6,142
WLF00000748,6,143
WLF00000750,6,144
WLF00000751,2,145
WLF00000751,1,145
WLF00000751,3,145
WLF00000781,2,146
WLF00000782,6,147
WLF00000807,6,148
WLF00000812,6,149
WLF00000814,6,150
WLF00000815,6,151
WLF00000837,6,152
WLF00000838,6,153
WLF00000842,6,154
WLF00000864,6,155
WLF00000867,6,156
WLF00000888,6,157
WLF00000892,6,158
WLF00000896,6,159
WLF00000917,6,160
WLF00000921,6,161
WLF00000922,6,162
WLF00000923,6,163
WLF00000946,6,164
WLF00000948,3,165
WLF00000948,2,165
WLF00000948,1,165
WLF00000968,6,166
WLF00000969,2,167
WLF00000969,0,167
WLF00000975,6,168
WLF00000998,6,169
WLF00001020,2,170
WLF00001020,3,170
WLF00001021,6,171
WLF00001026,2,172
WLF00001026,3,172
WLF00001059,6,173
WLF00001060,6,174
WLF00001061,6,175
WLF00001062,6,176
WLF00001063,6,177
WLF00001064,6,178
WLF00001065,6,179
WLF00001066,5,180
WLF00001067,0,181
WLF00001067,1,181
WLF00001068,6,182
WLF00001069,6,183
WLF00001070,3,184
WLF00001070,4,184
WLF00001070,5,184
WLF00001071,6,185
WLF00001072,6,186
WLF00001073,6,187
WLF00001074,6,188
WLF00001075,6,189
WLF00001076,6,190
WLF00001077,6,191
WLF00001078,6,192
WLF00001079,6,193
WLF00001080,6,194
WLF00001081,1,195
WLF00001081,0,195
WLF00001081,2,195
WLF00001082,6,196
WLF00001083,6,197
WLF00001084,6,198
WLF00001085,6,199
WLF00001086,6,200
WLF00001087,3,201
WLF00001087,1,201
WLF00001087,2,201
WLF00001088,6,202
WLF00001089,6,203
WLF00001090,6,204
WLF00001091,6,205
WLF00001092,6,206
WLF00001093,6,207
WLF00001094,6,208
WLF00001095,6,209
WLF00001096,6,210
WLF00001097,6,211
WLF00001098,6,212
WLF00001099,6,213
WLF00001100,6,214
WLF00001101,6,215
WLF00001102,6,216
WLF00001103,6,217
WLF00001104,6,218
WLF00001105,6,219
WLF00001106,6,220
WLF00001107,1,221
WLF00001107,2,221
WLF00001108,4,222
WLF00001108,5,222
WLF00001109,1,223
WLF00001109,3,223
WLF00001109,2,223
WLF00001110,6,224
WLF00001111,5,225
WLF00001111,4,225
WLF00001112,6,226
WLF00001113,6,227
WLF00001114,1,228
WLF00001114,2,228
WLF00001114,3,228
WLF00001115,5,229
WLF00001116,6,230
WLF00001117,6,231
WLF00001118,6,232
WLF00001119,5,233
WLF00001119,4,233
WLF00001119,0,233
WLF00001119,1,233
WLF00001119,3,233
WLF00001120,6,234
WLF00001121,1,235
WLF00001121,2,235
WLF00001121,0,235
WLF00001122,6,236
WLF00001123,3,237
WLF00001123,5,237
WLF00001123,4,237
WLF00001124,6,238
WLF00001125,6,239
WLF00001126,6,240
WLF00001127,6,241
WLF00001128,6,242
WLF00001129,1,243
WLF00001129,3,243
WLF00001129,2,243
WLF00001130,0,244
WLF00001131,6,245
WLF00001132,6,246
WLF00001133,6,247
WLF00001134,6,248
WLF00001135,6,249
WLF00001136,6,250
WLF00001137,6,251
WLF00001138,3,252
WLF00001138,4,252
WLF00001138,5,252
WLF00001139,6,253
WLF00001140,2,254
WLF00001141,2,255
WLF00001141,1,255
WLF00001141,3,255
WLF00001142,6,256
WLF00001143,2,257
WLF00001143,3,257
WLF00001143,4,257
WLF00001144,4,258
WLF00001144,5,258
WLF00001144,2,258
WLF00001144,3,258
WLF00001144,0,258
WLF00001145,1,259
WLF00001145,2,259
WLF00001146,2,260
WLF00001146,3,260
WLF00001147,0,261
WLF00001148,3,262
WLF00001148,5,262
WLF00001148,4,262
WLF00001149,4,263
WLF00001149,5,263
WLF00001149,3,263
WLF00001150,6,264
WLF00001151,3,265
WLF00001151,4,265
WLF00001151,5,265
WLF00001152,4,266
WLF00001152,5,266
WLF00001152,3,266
WLF00001153,2,267
WLF00001153,3,267
WLF00001153,5,267
WLF00001153,4,267
WLF00001154,6,268
WLF00001155,6,269
WLF00001156,6,270
WLF00001157,5,271
WLF00001157,4,271
WLF00001157,3,271
WLF00001157,2,271
WLF00001158,5,272
WLF00001159,6,273
WLF00001160,6,274
WLF00001161,6,275
WLF00001162,6,276
WLF00001163,6,277
WLF00001164,5,278
WLF00001165,5,279
WLF00001165,4,279
WLF00001165,3,279
WLF00001166,6,280
WLF00001168,6,281
WLF00001169,6,282
WLF00001171,1,283
WLF00001171,0,283
WLF00001171,2,283
WLF00001173,6,284
WLF00001174,6,285
WLF00001175,6,286
WLF00001176,6,287
WLF00001177,6,288
WLF00001178,2,289
WLF00001178,1,289
WLF00001179,5,290
WLF00001179,4,290
WLF00001180,6,291
WLF00001181,5,292
WLF00001182,6,293
WLF00001183,0,294
WLF00001184,6,295
WLF00001185,6,296
WLF00001186,6,297
WLF00001187,6,298
WLF00001188,6,299
WLF00003168,6,300
WLF00003169,6,301
WLF00003170,6,302
WLF00003171,6,303
WLF00003172,6,304
WLF00003173,4,305
WLF00003173,3,305
WLF00003173,2,305
WLF00003174,6,306
WLF00003175,6,307
WLF00003176,6,308
WLF00003177,2,309
WLF00003178,6,310
WLF00003179,6,311
WLF00003180,6,312
WLF00003181,6,313
WLF00003182,6,314
WLF00003183,6,315
WLF00003184,6,316
WLF00003185,1,317
WLF00003185,2,317
WLF00003186,6,318
WLF00003187,1,319
WLF00003187,3,319
WLF00003187,2,319
WLF00003188,1,320
WLF00003188,2,320
WLF00003189,6,321
WLF00003190,6,322
WLF00003191,5,323
WLF00003192,6,324
WLF00003193,6,325
WLF00003194,6,326
WLF00003195,0,327
WLF00003195,2,327
WLF00003195,1,327
WLF00003196,6,328
WLF00003197,6,329
WLF00003198,6,330
WLF00003199,6,331
WLF00003200,2,332
WLF00003200,3,332
WLF00003200,1,332
WLF00003201,6,333
WLF00003202,6,334
WLF00003203,6,335
WLF00003204,2,336
WLF00003204,1,336
WLF00003204,3,336
WLF00003205,5,337
WLF00003205,4,337
WLF00003206,6,338
WLF00003207,6,339
WLF00003208,6,340
WLF00003209,6,341
WLF00003210,6,342
WLF00003211,6,343
WLF00003212,6,344
WLF00003213,5,345
WLF00003213,1,345
WLF00003213,0,345
WLF00003213,2,345
WLF00003214,3,346
WLF00003214,5,346
WLF00003214,4,346
WLF00003215,6,347
WLF00003216,6,348
WLF00003217,6,349
WLF00003218,6,350
WLF00003219,6,351
WLF00003220,6,352
WLF00003221,3,353
WLF00003221,2,353
WLF00003222,6,354
WLF00003223,6,355
WLF00003224,6,356
WLF00003225,6,357
WLF00003226,6,358
WLF00003227,6,359
WLF00003228,6,360
WLF00003229,6,361
WLF00003230,6,362
WLF00003231,6,363
WLF00003232,6,364
WLF00003233,5,365
WLF00003234,6,366
WLF00003235,1,367
WLF00003235,2,367
WLF00003235,0,367
WLF00003236,3,368
WLF00003236,1,368
WLF00003236,2,368
WLF00003237,0,369
WLF00003238,6,370
WLF00003239,6,371
WLF00003240,3,372
WLF00003240,5,372
WLF00003240,4,372
WLF00003241,4,373
WLF00003241,5,373
WLF00003242,1,374
WLF00003242,0,374
WLF00003242,2,374
WLF00003243,6,375
WLF00003244,6,376
WLF00003245,2,377
WLF00003245,3,377
WLF00003245,4,377
WLF00003245,5,377
WLF00003247,6,379
WLF00003248,6,380
WLF00003249,6,381
WLF00003250,0,382
WLF00003251,6,383
WLF00003252,5,384
WLF00003253,6,385
WLF00003254,2,386
WLF00003254,3,386
WLF00003254,1,386
WLF00003255,6,387
WLF00003256,6,388
WLF00003257,6,389
WLF00003258,6,390
WLF00003259,6,391
WLF00003260,2,392
WLF00003260,3,392
WLF00003260,1,392
WLF00003260,4,392
WLF00003261,6,393
WLF00003262,2,394
WLF00003262,0,394
WLF00003262,1,394
WLF00003263,2,395
WLF00003263,1,395
WLF00003264,6,396
WLF00003265,6,397
WLF00003266,6,398
WLF00003267,6,399
WLF00003268,6,400
WLF00003268,6,400
WLF00003269,6,401
WLF00003270,6,402
WLF00003271,6,403
WLF00003272,6,404
WLF00003273,6,405
WLF00003274,6,406
WLF00003275,6,407
WLF00003276,6,408
WLF00003277,3,409
WLF00003277,4,409
WLF00003277,5,409
WLF00003278,6,410
WLF00003279,6,411
WLF00003280,4,412
WLF00003280,5,412
WLF00003281,6,413
WLF00003282,1,414
WLF00003282,0,414
WLF00003282,2,414
WLF00003283,1,415
WLF00003283,2,415
WLF00003283,0,415
WLF00004647,6,416
WLF00004648,6,417
WLF00004649,6,418
WLF00004650,1,419
WLF00004650,2,419
WLF00004651,2,420
WLF00004651,3,420
WLF00004651,5,420
WLF00004651,4,420
WLF00004654,6,421
WLF00004655,6,422
WLF00004657,0,424
